date,nyse_advancers,nyse_decliners,nyse_ad,nyse_ad_cum,nyse_ad_cum_trend,nyse_mcclellan,nyse_mcclellan_trend,nyse_pct_above_20d,nyse_pct_above_50d,nyse_pct_above_200d,nyse_common_advancers,nyse_common_decliners,nyse_common_ad,nyse_common_ad_cum,nyse_common_ad_cum_trend,nyse_common_mcclellan,nyse_common_mcclellan_trend,nyse_common_pct_above_20d,nyse_common_pct_above_50d,nyse_common_pct_above_200d,nasdaq_advancers,nasdaq_decliners,nasdaq_ad,nasdaq_ad_cum,nasdaq_ad_cum_trend,nasdaq_mcclellan,nasdaq_mcclellan_trend,nasdaq_pct_above_20d,nasdaq_pct_above_50d,nasdaq_pct_above_200d,sp500_advancers,sp500_decliners,sp500_ad,sp500_ad_cum,sp500_ad_cum_trend,sp500_mcclellan,sp500_mcclellan_trend,sp500_pct_above_20d,sp500_pct_above_50d,sp500_pct_above_200d,sp400_advancers,sp400_decliners,sp400_ad,sp400_ad_cum,sp400_ad_cum_trend,sp400_mcclellan,sp400_mcclellan_trend,sp400_pct_above_20d,sp400_pct_above_50d,sp400_pct_above_200d,sp600_advancers,sp600_decliners,sp600_ad,sp600_ad_cum,sp600_ad_cum_trend,sp600_mcclellan,sp600_mcclellan_trend,sp600_pct_above_20d,sp600_pct_above_50d,sp600_pct_above_200d,broad_pct_above_20d,broad_pct_above_50d,broad_pct_above_200d
2023-07-20,717,837,-120.0,4540.0,rising,73.22854690776401,rising,81.60703075957314,0.0,0.0,550,625,-75.0,3535.0,rising,56.01822508565985,rising,82.46051537822112,0.0,0.0,735,1444,-709.0,1135.0,rising,38.0165540698236,rising,64.02093327518534,0.0,0.0,277,220,57.0,1492.0,rising,23.44942845890815,flat,83.33333333333334,0.0,0.0,163,226,-63.0,1337.0,rising,18.40492902700595,flat,82.74111675126903,0.0,0.0,216,364,-148.0,1563.0,rising,31.21083094757335,rising,81.56996587030717,0.0,0.0,71.34180000187665,0.0,0.0
2023-07-21,662,891,-229.0,4311.0,rising,46.32557516537193,rising,78.40552416823603,0.0,0.0,466,705,-239.0,3296.0,rising,32.20387053989313,rising,78.38736492103075,0.0,0.0,966,1189,-223.0,912.0,rising,19.981776386131813,flat,62.71260357610118,0.0,0.0,290,203,87.0,1579.0,rising,22.841905293243087,flat,83.13253012048193,0.0,0.0,172,218,-46.0,1291.0,rising,11.953811741261028,flat,80.20304568527918,0.0,0.0,227,352,-125.0,1438.0,rising,18.811146275877,flat,78.32764505119454,0.0,0.0,69.28517792334644,0.0,0.0
2023-07-24,968,594,374.0,4685.0,rising,53.2419064497999,rising,77.52667922159448,0.0,0.0,738,441,297.0,3593.0,rising,38.481578050563115,rising,77.38985868661679,0.0,0.0,998,1177,-179.0,733.0,rising,6.662132584644674,flat,59.398168338421286,0.0,0.0,287,208,79.0,1658.0,rising,21.808263460133233,flat,80.92369477911646,0.0,0.0,208,184,24.0,1315.0,rising,9.878337403242817,flat,75.88832487309645,0.0,0.0,389,193,196.0,1634.0,rising,24.165360150197245,flat,79.35153583617748,0.0,0.0,66.9755657158675,0.0,0.0
2023-07-25,830,729,101.0,4786.0,rising,45.23916016573679,rising,76.77338355304457,0.0,0.0,643,538,105.0,3698.0,rising,34.05661008193316,rising,77.0573566084788,0.0,0.0,912,1269,-357.0,376.0,rising,-13.659473528550059,flat,55.1438535309503,0.0,0.0,293,205,88.0,1746.0,rising,21.265458375523636,flat,79.91967871485943,0.0,0.0,214,176,38.0,1353.0,rising,8.75441515722104,flat,76.6497461928934,0.0,0.0,302,282,20.0,1654.0,rising,19.82238621199007,flat,77.81569965870307,0.0,0.0,64.16001323802114,0.0,0.0
2023-07-26,965,591,374.0,5160.0,rising,51.820616292034174,rising,76.39673571876962,0.0,0.0,722,451,271.0,3969.0,rising,38.402979418344856,rising,76.22610141313383,0.0,0.0,1344,829,515.0,891.0,flat,12.633850612311193,flat,58.06451612903226,0.0,0.0,259,237,22.0,1768.0,rising,17.39503273630482,flat,76.30522088353415,0.0,0.0,239,153,86.0,1439.0,rising,10.14968956108632,flat,74.8730964467005,0.0,0.0,385,198,187.0,1841.0,rising,24.360031563762995,flat,78.49829351535837,0.0,0.0,65.71400223298274,0.0,0.0
2023-07-27,333,1232,-899.0,4261.0,rising,-6.461341801441748,flat,63.36260978670013,0.0,0.0,270,912,-642.0,3327.0,rising,-3.7228896961148763,flat,64.53488372093024,0.0,0.0,576,1610,-1034.0,-143.0,falling,-42.39852650031399,falling,48.627450980392155,0.0,0.0,118,378,-260.0,1508.0,flat,-0.10115634890879477,flat,66.06425702811245,0.0,0.0,90,302,-212.0,1227.0,flat,-3.6080992714143107,flat,61.6751269035533,0.0,0.0,131,447,-316.0,1525.0,rising,2.9679181817100257,flat,67.74744027303754,0.0,0.0,54.775284499952804,0.0,0.0
2023-07-28,1111,459,652.0,4913.0,rising,21.289890737643532,flat,68.19322459222083,0.0,0.0,844,345,499.0,3826.0,rising,17.328106659502637,flat,69.01993355481729,0.0,0.0,1616,540,1076.0,933.0,rising,16.26078370089305,flat,56.209150326797385,0.0,0.0,339,158,181.0,1689.0,rising,6.990107764978113,flat,65.46184738955823,0.0,0.0,278,112,166.0,1393.0,rising,3.5470317731547283,flat,66.49746192893402,0.0,0.0,408,171,237.0,1762.0,rising,12.312821649146187,flat,73.03754266211604,0.0,0.0,61.25880051378472,0.0,0.0
2023-07-31,1107,458,649.0,5562.0,rising,44.76074510487325,rising,73.5423197492163,0.0,0.0,846,335,511.0,4337.0,rising,35.84006801025811,rising,74.35684647302905,0.0,0.0,1392,785,607.0,1540.0,rising,42.8831900044206,rising,62.309368191721134,0.0,0.0,307,187,120.0,1809.0,rising,9.968188043526524,flat,70.08032128514057,0.0,0.0,264,124,140.0,1533.0,rising,8.346933657395482,flat,69.28934010152284,0.0,0.0,417,164,253.0,2015.0,rising,21.041150005558364,flat,76.96245733788396,0.0,0.0,67.00727551066286,0.0,0.0
2023-08-01,582,976,-394.0,5168.0,rising,12.454521863330285,flat,67.7115987460815,0.0,0.0,481,694,-213.0,4124.0,rising,15.288594625102732,flat,70.3734439834025,0.0,0.0,849,1327,-478.0,1062.0,falling,11.180931443914552,flat,59.23344947735192,0.0,0.0,186,309,-123.0,1686.0,rising,0.31460574146778697,flat,64.05622489959839,0.0,0.0,163,229,-66.0,1467.0,flat,2.109115100134346,flat,69.03553299492386,0.0,0.0,212,365,-153.0,1862.0,rising,8.098665000262997,flat,71.50170648464163,0.0,0.0,62.770931148664374,0.0,0.0
2023-08-02,386,1183,-797.0,4371.0,flat,-35.37957161750559,falling,53.73040752351097,0.0,0.0,315,870,-555.0,3569.0,flat,-19.459358092330618,flat,56.76348547717842,0.0,0.0,610,1585,-975.0,87.0,falling,-40.830404282537685,falling,49.08536585365854,0.0,0.0,132,362,-230.0,1456.0,flat,-13.290780155499775,flat,53.21285140562249,0.0,0.0,96,295,-199.0,1268.0,flat,-9.884765341824593,flat,54.314720812182735,0.0,0.0,170,413,-243.0,1619.0,flat,-7.5076530042658725,flat,61.262798634812285,0.0,0.0,51.02162259648491,0.0,0.0
