date,spx,bb_mid,bb_upper,bb_lower,bb_dist_upper_pct,bb_dist_lower_pct,vix,vix1d,vix9d,vvix,shortvol,vx_m1,vx_m2,vx_contango_pct,pc_equity_raw,pc_index_raw,pc_equity_10d,pc_index_10d
2025-01-03,5942.47021484375,5992.8289794921875,6154.230254830013,5831.427704154362,3.563501916379922,-1.8686254482523788,16.1299991607666,11.59000015258789,13.4399995803833,94.36000061035156,1791.8299560546875,,,,,,,
2025-01-06,5975.3798828125,5987.84248046875,6144.6368742802015,5831.048086657299,2.8325729039345258,-2.4154413440784763,16.040000915527344,11.420000076293945,14.199999809265137,95.88999938964844,1797.5799560546875,,,,,,,
2025-01-07,5909.02978515625,5978.78046875,6131.547183385186,5826.013754114814,3.765717999728312,-1.404901211531812,17.81999969482422,14.25,16.100000381469727,106.37000274658203,1695.6199951171875,,,,,,,
2025-01-08,5918.25,5972.050463867187,6122.925592879205,5821.175334855169,3.458380313085885,-1.6402596231120816,17.700000762939453,18.670000076293945,16.149999618530273,103.93000030517578,1708.280029296875,,,,,,,
2025-01-10,5827.0400390625,5961.656958007812,6122.602767605143,5800.711148410482,5.0722618441145135,-0.4518398788324499,19.540000915527344,16.40999984741211,17.829999923706055,115.48999786376953,1594.9599609375,,,,,,,
2025-01-13,5836.22021484375,5949.258471679687,6108.6569957291695,5789.859947630205,4.668034632972006,-0.7943543167825103,19.190000534057617,16.81999969482422,18.700000762939453,110.94000244140625,1627.8800048828125,,,,,,,
2025-01-14,5842.91015625,5938.841479492187,6097.404030854774,5780.278928129601,4.3556013664278,-1.0719183839136086,18.709999084472656,22.479999542236328,18.149999618530273,107.93000030517578,1654.4300537109375,,,,,,,
2025-01-15,5949.91015625,5933.782495117188,6083.474000109708,5784.090990124668,2.2448043811116656,-2.78691882349097,16.1200008392334,13.630000114440918,13.9399995803833,97.79000091552734,1795.5999755859375,,,,,,,
2025-01-16,5937.33984375,5926.945483398437,6061.368378546166,5792.522588250708,2.0889579855653055,-2.4390932523718503,16.600000381469727,14.350000381469727,14.880000114440918,99.83999633789062,1798.489990234375,,,,,,,
2025-01-17,5996.66015625,5924.247998046875,6050.1150316716075,5798.380964422143,0.8914107858170746,-3.306493725865077,15.970000267028809,14.890000343322754,14.130000114440918,101.61000061035156,1788.969970703125,,,,,,,
2025-01-21,6049.240234375,5933.102001953125,6068.121666333724,5798.082337572527,0.3121289819410591,-4.151891594175091,15.0600004196167,10.460000038146973,14.3100004196167,98.26000213623047,1859.27001953125,,,,,,,
2025-01-22,6086.3701171875,5944.06650390625,6091.551943733417,5796.581064079082,0.08513820957558578,-4.7612788497707825,15.100000381469727,9.579999923706055,13.569999694824219,100.55999755859375,1833.3800048828125,,,,,,,
2025-01-23,6118.7099609375,5953.459497070313,6120.087278505063,5786.831715635562,0.0225099338971162,-5.423990472185867,15.020000457763672,9.260000228881836,13.420000076293945,99.5199966430664,1863.719970703125,,,,,,,
2025-01-24,6101.240234375,5959.818017578125,6138.99075305987,5780.6452820963805,0.6187351626015322,-5.2545866080203725,14.850000381469727,9.010000228881836,12.880000114440918,100.41000366210938,1872.1300048828125,,,,,,,
2025-01-27,6012.27978515625,5958.430004882813,6135.402652877437,5781.457356888189,2.047856588862769,-3.8391830805668756,17.899999618530273,14.739999771118164,18.450000762939453,110.30999755859375,1729.68994140625,,,,,,,
2025-01-28,6067.7001953125,5959.935522460937,6140.224836106409,5779.646208815465,1.1952574856934606,-4.7473338699160905,16.40999984741211,13.529999732971191,16.639999389648438,103.73999786376953,1807.1800537109375,,,,,,,
2025-01-29,6039.31005859375,5963.359033203125,6147.087739476704,5779.630326929547,1.784602542960842,-4.29982446909953,16.559999465942383,16.1299991607666,16.40999984741211,101.68000030517578,1806.6199951171875,,,,,,,
2025-01-30,6071.169921875,5971.570532226562,6159.318194705736,5783.822869747389,1.4519157586601057,-4.732976606243101,15.84000015258789,14.720000267028809,14.979999542236328,98.31999969482422,1817.18994140625,,,,,,,
2025-01-31,6040.52978515625,5979.51552734375,6164.6682249744945,5794.362829713006,2.055091924607295,-4.075254393218362,16.43000030517578,16.510000228881836,15.850000381469727,101.5,1756.3499755859375,,,,,,,
2025-02-03,5994.56982421875,5985.8165283203125,6163.495372141858,5808.137684498767,2.8179761496918303,-3.110016985151722,18.6200008392334,18.25,19.3799991607666,109.01000213623047,1718.489990234375,,,,,,,
2025-02-04,6037.8798828125,5990.58701171875,6168.4887909916715,5812.685232445828,2.163158438294945,-3.729697422562413,17.209999084472656,14.989999771118164,17.0,100.87999725341797,1772.699951171875,,,,,,,
2025-02-05,6061.47998046875,5994.892016601562,6175.392402653364,5814.3916305497605,1.8792839793525966,-4.076369974249778,15.770000457763672,11.079999923706055,14.880000114440918,97.29000091552734,1803.7099609375,,,,,,,
2025-02-06,6083.56982421875,6003.6190185546875,6183.516690635972,5823.721346473403,1.6428983196565345,-4.271315777635814,15.5,15.75,14.149999618530273,96.7699966430664,1816.3399658203125,,,,,,,
2025-02-07,6025.990234375,6009.006030273437,6184.539666611852,5833.472393935022,2.6310934148617413,-3.1947917761593425,16.540000915527344,16.149999618530273,14.670000076293945,101.48999786376953,1757.5400390625,,,,,,,
2025-02-10,6066.43994140625,6020.976025390625,6175.676884155913,5866.275166625337,1.8006762418279425,-3.299542676005016,15.8100004196167,11.289999961853027,13.760000228881836,99.1500015258789,1800.81005859375,,,,,,,
2025-02-11,6068.5,6032.590014648437,6161.639016594157,5903.541012702718,1.534794703702012,-2.718282727153036,16.020000457763672,14.069999694824219,13.829999923706055,99.81999969482422,1797.6400146484375,,,,,,,
2025-02-12,6051.97021484375,6043.043017578125,6136.307385866094,5949.778649290156,1.3935490101304324,-1.6885668951732016,15.890000343322754,12.75,13.510000228881836,98.73999786376953,1802.260009765625,,,,,,,
2025-02-13,6115.06982421875,6051.301000976562,6138.920869646479,5963.681132306645,0.3900371723192302,-2.4756657939134197,15.100000381469727,10.979999542236328,12.3100004196167,95.4800033569336,1833.300048828125,,,,,,,
2025-02-14,6114.6298828125,6060.165502929687,6134.03410690482,5986.296898954554,0.31734094236615923,-2.0987858025336004,14.770000457763672,11.819999694824219,11.5600004196167,96.9000015258789,1843.8299560546875,,,,,,,
2025-02-18,6129.580078125,6066.811499023437,6140.540418599694,5993.08257944718,0.1788106254424972,-2.226865412280795,15.350000381469727,9.3100004196167,13.199999809265137,98.5,1849.6099853515625,,,,,,,
2025-02-19,6144.14990234375,6071.556982421875,6152.398434200594,5990.715530643155,0.13425017273256548,-2.4972432987363447,15.270000457763672,9.319999694824219,13.0600004196167,95.55000305175781,1871.2099609375,,,,,,,
2025-02-20,6117.52001953125,6073.114477539062,6156.323184756724,5989.9057703214,0.6342956803016276,-2.086045469445445,15.65999984741211,11.199999809265137,13.460000038146973,94.98999786376953,1863.719970703125,,,,,,,
2025-02-21,6013.1298828125,6067.835473632813,6152.252194847827,5983.418752417799,2.3136422253739153,-0.49410425142529274,18.209999084472656,18.15999984741211,17.0,105.70999908447266,1722.8800048828125,,,,,,,
2025-02-24,5983.25,6061.935961914062,6152.770812561117,5971.101111267008,2.8332563834223383,-0.20304832211578017,18.979999542236328,15.100000381469727,18.299999237060547,106.80000305175781,1723.9599609375,,,,,,,
